key,value
role,AI Design Systems Engineer
years_experience,15+
specialties,"React, TypeScript, Tailwind, design systems, AI-assisted product development, front-end architecture"
industries,"QSR / dining, healthcare, government, entertainment, commerce"
notable_clients,"Red Bull, Cheesecake Factory, Panda Express, Dutch Bros, Texas Roadhouse, Wingstop, Portillo's, Kroger, Blue Cross Blue Shield, U.S. Fish & Wildlife Service, Navy Federal, TransUnion"
strengths,"Bridging design and engineering, leading distributed teams, translating complex technical concepts for non-technical stakeholders, shipping production-grade front-end at scale"
email,ericjshell@gmail.com
contact_method,"The best way to reach me is by email at [ericjshell@gmail.com](mailto:ericjshell@gmail.com), or via [the contact form below](#contact)."
location,(fill in)
current_focus,(fill in)
fun_fact,(fill in)
